familia,genero,nombre_cientifico,especie
Rhamphichthyidae,Rhamphichthys,Rhamphichthys pantherinus ,marmoratus 
Salmonidae,Oncorhynchus,Oncorhynchus mykiss,mykiss
Salmonidae,Oncorhynchus,Oncorhynchus mykiss,mykiss
Batrachoididae,Thalassophryne ,Thalassophryne amazonica,amazonica
Batrachoididae,Thalassophryne ,Thalassophryne amazonica,amazonica
Synbranchidae,Synbranchus ,Synbranchus marmoratus,marmoratus
Synbranchidae,Synbranchus ,Synbranchus marmoratus,marmoratus
Synbranchidae,Synbranchus ,Synbranchus marmoratus,marmoratus
Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis 
Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis 
Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis 
Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis 
Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis 
Achiridae,Apionichthys,Apionichthys cf. nattereri,cf. nattereri
Achiridae,Hypoclinemus,Hypoclinemus mentalis ,mentalis 
Cichlidae,Heros ,Heros efasciatus ,efasciatus
Cichlidae,Cichlasoma ,Cichlasoma amazonarum,amazonarum
Cichlidae,Satanoperca,Satanoperca jurupari,jurupari
Cichlidae,Cichla ,Cichla monoculus,monoculus
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Biotodoma,Biotodoma cupido,cupido
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Chaetobranchus ,Chaetobranchus flavescens,flavescens
Cichlidae,Chaetobranchus ,Chaetobranchus semifasciatus,semifasciatus
Cichlidae,Pterophyllum,Pterophyllum scalare,scalare
Cichlidae,Cichla ,Cichla monoculus,monoculus
Cichlidae,Mesonauta,Mesonauta mirificus,mirificus
Cichlidae,Crenicichla ,Crenicichla johanna,johanna
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Heros ,Heros efasciatus ,efasciatus
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Crenicichla ,Crenicichla proteus,proteus
Cichlidae,Cichlasoma ,Cichlasoma amazonarum,amazonarum
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Crenicichla ,Crenicichla lucius ,lucius
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Satanoperca,Satanoperca jurupari,jurupari
Cichlidae,Bujurquina ,Bujurquina peregrinabunda ,peregrinabunda
Serrasalmidae,Myloplus,Myloplus schomburgkii,schomburgkii
Serrasalmidae,Myloplus,Myloplus schomburgkii,schomburgkii
Serrasalmidae,Myloplus,Myloplus schomburgkii,schomburgkii
Cichlidae,Lugubria,Lugubria cincta,cincta
Cichlidae,Bujurquina ,Bujurquina peregrinabunda ,peregrinabunda
Cichlidae,Chaetobranchus ,Chaetobranchus flavescens,flavescens
Cichlidae,Pterophyllum,Pterophyllum scalare,scalare
Cichlidae,Cichla ,Cichla monoculus,monoculus
Cichlidae,Satanoperca,Satanoperca jurupari,jurupari
Cichlidae,Cichlasoma ,Cichlasoma amazonarum,amazonarum
Cichlidae,Bujurquina ,Bujurquina moriorum,moriorum
Cichlidae,Mesonauta,Mesonauta insignis,insignis 
Cichlidae,Bujurquina ,Bujurquina syspilus,syspilus
Cichlidae,Satanoperca,Satanoperca jurupari,jurupari
Cichlidae,Bujurquina ,Bujurquina ortegai,ortegai
Cichlidae,Crenicichla ,Crenicichla sedentaria,sedentaria
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Cichlasoma ,Cichlasoma amazonarum,amazonarum
Cichlidae,Bujurquina ,Bujurquina syspilus,syspilus
Cichlidae,Bujurquina ,Bujurquina robusta,robusta
Cichlidae,Crenicichla ,Crenicichla proteus,proteus
Cichlidae,Chaetobranchus ,Chaetobranchus flavescens,flavescens
Cichlidae,Crenicichla ,Crenicichla johanna,johanna
Cichlidae,Astronotus,Astronotus ocellatus,ocellatus
Cichlidae,Mesonauta,Mesonauta insignis,insignis 
Cichlidae,Aequidens ,Aequidens tetramerus,tetramerus
Cichlidae,Biotodoma,Biotodoma cupido,cupido
Cichlidae,Crenicichla ,Crenicichla johanna,johanna
Cichlidae,Chaetobranchus ,Chaetobranchus flavescens,flavescens
Cichlidae,Crenicichla ,Crenicichla johanna,johanna
Cichlidae,Satanoperca,Satanoperca jurupari,jurupari
Cichlidae,Bujurquina ,Bujurquina robusta,robusta
Cichlidae,Lugubria,Lugubria cincta,cincta
Cichlidae,Hypselecara,Hypselecara temporalis,temporalis
